Dataset;Training Loss;Test Loss;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Loss K = 100;Test Loss K = 100;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Loss K = 1000;Test Loss K = 1000;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Loss K = 10000;Test Loss K = 10000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
PigArtPressure;75;4.041;1.0;0.15384615384615385;1.0;0.07675824175824177;1.016;1.608;0.9903846153846154;0.7971153846153846;0.9808547008547008;0.6331550671550672;18;528;1.0;0.8586538461538462;1.0;0.8586538461538462;0.0;4.112;1.0;0.7067307692307693;1.0;0.7067307692307693
PigAirwayPressure;417;4.979;0.9807692307692307;0.10096153846153846;0.9692307692307692;0.0463064713064713;1.971;3.659;0.7692307692307693;0.11826923076923077;0.6228815628815629;0.05228144078144079;86;3.713;1.0;0.18076923076923077;1.0;0.18076923076923077;0.0;8.487;1.0;0.18846153846153846;1.0;0.18846153846153846
PickupGestureWiimoteZ;678;1.27;875;0.6458333333333334;0.7976190476190476;0.5018253968253968;628;1.02;0.9500000000000001;0.7416666666666667;0.898941798941799;0.5917482363315697;18;812;1.0;0.7583333333333333;1.0;0.7583333333333333;0.0;4.051;1.0;0.7916666666666666;1.0;0.7916666666666666
Phoneme;79;3.705;1.0;0.08386075949367089;1.0;0.02519050828951371;1.532;2.857;0.7855769230769231;0.265084388185654;0.5407304472084692;0.10378266652754291;59;2.855;1.0;0.2990506329113924;1.0;0.2990506329113924;0.0;14.738;1.0;0.255168776371308;1.0;0.255168776371308
PhalangesOutlinesCorrect;574;603;0.7311111111111112;0.6764018691588785;0.7968357815024487;0.7592940807894083;398;517;0.8312222222222222;0.758177570093458;0.8489113701113709;0.7868976817574946;145;519;964;0.7918224299065421;0.9631012099012105;0.7918224299065421;7;1.292;999;0.7897196261682243;0.9947213675213675;0.7897196261682243
PLAID;462;2.188;0.9626865671641791;0.2891791044776119;0.8708217155978352;0.23596760343029002;1.469;1.859;0.5432835820895522;0.41492537313432837;0.34551319631170363;0.23681588604083276;241;1.896;1.0;0.492910447761194;1.0;0.492910447761194;1;9.753;1.0;0.5048507462686568;1.0;0.5048507462686568
OliveOil;54;303;1.0;0.9166666666666666;1.0;0.7037037037037036;441;728;0.9916666666666667;0.8250000000000001;0.9915343915343915;0.6839031339031338;6;331;1.0;0.8916666666666666;1.0;0.8916666666666666;0.0;2.198;1.0;0.8083333333333333;1.0;0.8083333333333333
OSULeaf;981;1.598;0.68;425;0.5793777777777777;0.3311516754850088;314;583;955;805;0.9255853968253968;0.7315412698412699;12;375;1.0;865;1.0;865;0.0;1.297;1.0;0.8383333333333334;1.0;0.8383333333333334
NonInvasiveFetalECGThorax2;42;353;0.9972222222222222;0.9306122448979591;0.9949382716049382;0.8869184556939649;151;0.39;0.9832222222222222;0.8913265306122449;0.9706348030570251;0.8270857653306624;2;0.33;1.0;0.9212244897959184;1.0;0.9212244897959184;0.0;2.998;1.0;0.8991836734693878;1.0;0.8991836734693878
NonInvasiveFetalECGThorax1;61;345;0.9983333333333333;0.9086734693877551;0.9970546737213403;0.8491480401684475;193;514;0.9773333333333334;0.856326530612245;0.9620303778525997;0.7732961909594555;3;431;1.0;0.8945918367346939;1.0;0.8945918367346939;0.0;3.478;1.0;0.8721428571428571;1.0;0.8721428571428571
