Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
ProximalPhalanxOutlineAgeGroup;0.8708333373069763;0.8541666717064089;0.8348430305719375;0.724246174823947;0.9567708373069763;0.7939024390243903;0.9472632646560669;0.6500579107098463;1.0;0.8157723547772663;1.0;0.6827253061969106;1.0;0.8053658576709468;1.0;0.6748969096090736
PowerCons;0.9862500131130219;0.9687500119209289;0.9813650757074356;0.8792867153882981;0.9550000071525574;0.7912499934434891;0.9466818183660507;0.6017565712332725;1.0;0.8;1.0;0.5942114561796188;1.0;0.8199999988079071;1.0;0.6227845534682274
Plane;1.0;0.9814285625730242;1.0;0.9833348460424515;1.0;0.8762698392640976;1.0;0.8101948118209839;1.0;0.9199206240971883;1.0;0.8813883546420507;1.0;0.9034126975422814;1.0;0.8576512941860017
PigCVP;1.0;0.11562499888241291;1.0;0.06898215264081956;1.0;0.25312500074505806;1.0;0.1586350079625845;1.0;0.2993055562178294;1.0;0.18731863622864087;1.0;0.27604166939854624;1.0;0.17410816103219987
PigArtPressure;1.0;0.17812500111758708;1.0;0.11469445638358593;1.0;0.3510416656732559;1.0;0.22587822675704955;1.0;0.36736111094554263;1.0;0.23626058598359426;1.0;0.3343750014901161;1.0;0.21383944749832154
PigAirwayPressure;1.0;0.10104166585952043;1.0;0.06521554067730903;0.9979166656732559;0.08125000009313225;0.9962962955236435;0.05061919586732984;1.0;0.08229166669771075;1.0;0.05138061051256955;1.0;0.07916666632518173;1.0;0.04968730309046805
PickupGestureWiimoteZ;976;609;0.9700571432113647;0.5250476263165473;1.0;0.5055000000000001;1.0;0.3474365099072456;1.0;0.4995;1.0;0.3559928609132767;1.0;0.46799999999999997;1.0;0.34329762044548984
Phoneme;1.0;0.08368644155561925;1.0;0.026244055666029453;0.9654595104890449;0.17510593309998512;0.9508411154011699;0.070503312908113;1.0;0.1977754220366478;1.0;0.07635880745947361;1.0;0.18188559338450433;1.0;0.07135265860706567
PhalangesOutlinesCorrect;0.7359375;0.6776795271810119;0.8111510038375854;0.7586613297184587;0.7883928507566452;0.6964452166240532;0.8322865486145019;0.740395825920683;0.9982142925262452;0.745933066687106;0.9975102871656418;0.7586918655531112;1.0;0.7473641760977275;0.9991071432828903;0.7394412998136106
PLAID;1.0;0.32264606610800745;1.0;0.21623364676976337;0.7019611266294227;0.3367202048417132;0.6124942149529911;0.22012999705429184;1.0;0.37850616852886404;1.0;0.2412674711292238;1.0;0.37614059590316573;1.0;0.22219060789828415
